BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
432525,VISA,CREDIT,,JORDAN KUWAIT BANK,,http://www.jordan-kuwait-bank.com,JO,JOR,JORDAN
432556,VISA,CREDIT,CLASSIC,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON
432578,VISA,DEBIT,CLASSIC,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432579,VISA,DEBIT,GOLD,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432580,VISA,CREDIT,PLATINUM,ARAB BANK PLC,+97144450000,http://www.arabbank.jo,AE,ARE,UNITED ARAB EMIRATES
432581,VISA,CREDIT,REWARDS,ARAB BANK PLC,+97144450000,http://www.arabbank.jo,AE,ARE,UNITED ARAB EMIRATES
432582,VISA,CREDIT,PLATINUM,ARAB BANK PLC,+97444387878,http://www.arabbank.jo,QA,QAT,QATAR
432583,VISA,CREDIT,REWARDS,ARAB BANK PLC,+97444387878,http://www.arabbank.jo,QA,QAT,QATAR
432584,VISA,CREDIT,SIGNATURE,ARAB BANK PLC,+97022953333,http://www.arabbank.jo,PS,PSE,"PALESTINIAN TERRITORY, OCCUPIED"
432585,VISA,CREDIT,PLATINUM,ARAB BANK PLC,+97317541000,http://www.arabbank.jo,BH,BHR,BAHRAIN
432586,VISA,CREDIT,GOLD,ARAB BANK PLC,+97317541000,http://www.arabbank.jo,BH,BHR,BAHRAIN
432587,VISA,CREDIT,CLASSIC,ARAB BANK PLC,+20 2 19100,http://www.arabbank.jo,EG,EGY,EGYPT
432588,VISA,CREDIT,GOLD,ARAB BANK PLC,+20 2 19100,http://www.arabbank.jo,EG,EGY,EGYPT
432589,VISA,CREDIT,,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432591,VISA,CREDIT,,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432592,VISA,CREDIT,CLASSIC,ARAB BANK PLC,+961 (7) 751070-2,http://www.arabbank.jo,LB,LBN,LEBANON
432593,VISA,CREDIT,REWARDS,ARAB BANK PLC,+961 (7) 751070-2,http://www.arabbank.jo,LB,LBN,LEBANON
432596,VISA,CREDIT,,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432597,VISA,CREDIT,,ARAB BANK PLC,4600900,http://www.arabbank.jo,JO,JOR,JORDAN
432598,VISA,CREDIT,CLASSIC,ARAB BANK PLC,+97022953333,http://www.arabbank.jo,PS,PSE,"PALESTINIAN TERRITORY, OCCUPIED"
432599,VISA,CREDIT,GOLD,ARAB BANK PLC,+97022953333,http://www.arabbank.jo,PS,PSE,"PALESTINIAN TERRITORY, OCCUPIED"
432607,VISA,DEBIT,CLASSIC,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
432720,VISA,CREDIT,CLASSIC,ARAB JORDAN INVESTMENT BANK,,,JO,JOR,JORDAN
432721,VISA,CREDIT,GOLD,ARAB JORDAN INVESTMENT BANK,,,JO,JOR,JORDAN
432820,VISA,DEBIT,SIGNATURE,KURDISTAN INTERNATIONAL ISLAMIC BANK FOR INVESTMENT AND DEVELOPMENT,,,IQ,IRQ,IRAQ
432853,VISA,DEBIT,PREPAID CLASSIC,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
433007,VISA,DEBIT,CLASSIC,AREEBA SAL,,,LB,LBN,LEBANON
433008,VISA,CREDIT,GOLD,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON
433025,VISA,CREDIT,CLASSIC,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES
433026,VISA,CREDIT,GOLD,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES
433033,VISA,CREDIT,SIGNATURE,THE SAUDI INVESTMENT BANK,,,SA,SAU,SAUDI ARABIA
433034,VISA,DEBIT,PLATINUM,BANQUE MISR,+20223912150,http://www.banquemisr.com,EG,EGY,EGYPT
433072,VISA,DEBIT,PREPAID CLASSIC,AL BILAD BANK,9662918884,http://www.bankalbilad.com,SA,SAU,SAUDI ARABIA
433082,VISA,DEBIT,PREPAID PLATINUM,,,,OM,OMN,OMAN
433084,VISA,DEBIT,PLATINUM,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
433104,VISA,CREDIT,,QATAR ISLAMIC BANK (S.A.Q.),+97444385555,,QA,QAT,QATAR
433236,VISA,DEBIT,INFINITE,BANK DHOFAR (S.A.O.G.),+96824791111 / +96824790466,http://www.bankdhofar.com,OM,OMN,OMAN
433307,VISA,DEBIT,BUSINESS,HSBC BANK - EGYPT SAE,+20235359100,http://www.hsbc.com.eg,EG,EGY,EGYPT
433334,VISA,CREDIT,GOLD,THE NATIONAL BANK OF UMM AL-QAIWAIN PSC.,,,AE,ARE,UNITED ARAB EMIRATES
433347,VISA,CREDIT,PLATINUM,NATIONAL COMMERCIAL BANK,96626464060,,SA,SAU,SAUDI ARABIA
433362,VISA,CREDIT,CLASSIC,JORDAN ISLAMIC BANK,,,JO,JOR,JORDAN
433363,VISA,CREDIT,GOLD,JORDAN ISLAMIC BANK,,,JO,JOR,JORDAN
433364,VISA,DEBIT,CLASSIC,JORDAN ISLAMIC BANK,,,JO,JOR,JORDAN
433365,VISA,CREDIT,CORPORATE T&E,NATIONAL BANK OF FUJAIRAH,,,AE,ARE,UNITED ARAB EMIRATES
433366,VISA,CREDIT,BUSINESS,ALINMA BANK,,,SA,SAU,SAUDI ARABIA
433367,VISA,DEBIT,ELECTRON,ABU DHABI ISLAMIC BANK,+97126100600,http://www.adib.ae,AE,ARE,UNITED ARAB EMIRATES
433370,VISA,DEBIT,BUSINESS,EMIRATES NBD BANK (P.J.S.C.),,http://www.emiratesnbd.com,SA,SAU,SAUDI ARABIA
433371,VISA,CREDIT,SIGNATURE,QATAR NATIONAL BANK (Q.P.S.C.),,,QA,QAT,QATAR
433379,VISA,CREDIT,SIGNATURE,NATIONAL BANK OF OMAN LIMITED (S.A.O.G.),,,OM,OMN,OMAN
433435,VISA,CREDIT,BUSINESS,ALIZZ ISLAMIC BANK (S.A.O.C),,,OM,OMN,OMAN
433436,VISA,CREDIT,INFINITE,NATIONAL BANK OF OMAN LIMITED (S.A.O.G.),,,OM,OMN,OMAN
433456,VISA,CREDIT,CLASSIC,THE HOUSING BANK FOR TRADE & FINANCE,,,PS,PSE,"PALESTINIAN TERRITORY, OCCUPIED"
433457,VISA,CREDIT,ULTRA HIGH NET WORTH,AL BILAD BANK,9662918884,http://www.bankalbilad.com,SA,SAU,SAUDI ARABIA
433478,VISA,DEBIT,BUSINESS,NATIONAL BANK OF OMAN LIMITED (S.A.O.G.),,,OM,OMN,OMAN
433488,VISA,DEBIT,GOLD,ARAB INTERNATIONAL BANK,23918794,http://www.aib.com.eg,EG,EGY,EGYPT
433781,VISA,CREDIT,ULTRA HIGH NET WORTH,QATAR NATIONAL BANK (Q.P.S.C.),,,QA,QAT,QATAR
433783,VISA,CREDIT,SIGNATURE,BANK DHOFAR (S.A.O.G.),+96824791111 / +96824790466,http://www.bankdhofar.com,OM,OMN,OMAN
433786,VISA,CREDIT,PLATINUM,SAUDI AWWAL BANK,,,SA,SAU,SAUDI ARABIA
433803,VISA,DEBIT,PREPAID,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON
433808,VISA,DEBIT,ELECTRON,BANKMED S.A.L.,+9611708090,http://www.bankmed.com.lb,LB,LBN,LEBANON
433813,VISA,DEBIT,ELECTRON,BANK OF BEIRUT SAL,,,LB,LBN,LEBANON
433825,VISA,DEBIT,CLASSIC,BANKMED SAL,,,LB,LBN,LEBANON
433829,VISA,DEBIT,PLATINUM,BANK OF BEIRUT SAL,,,OM,OMN,OMAN
433836,VISA,DEBIT,PREPAID CLASSIC,BANK OF BEIRUT SAL,,,LB,LBN,LEBANON
433862,VISA,CREDIT,,AL RAJHI BANKING AND INVESTMENT CORP.,,http://www.alrajhibank.com.sa,JO,JOR,JORDAN
433863,VISA,CREDIT,,AL RAJHI BANKING AND INVESTMENT CORP.,+96524954333,http://www.alrajhibank.com.sa,KW,KWT,KUWAIT
433910,VISA,DEBIT,PREPAID CLASSIC,ARAB AFRICAN INTERNATIONAL BANK,+20224886679,http://www.aaib.com,EG,EGY,EGYPT
433916,VISA,CREDIT,GOLD,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
433917,VISA,CREDIT,CLASSIC,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
433918,VISA,CREDIT,PLATINUM,OMAN ARAB BANK SAO,(800) 860-9227,,OM,OMN,OMAN
433952,VISA,DEBIT,PREPAID CLASSIC,AL BILAD BANK,9662918884,http://www.bankalbilad.com,SA,SAU,SAUDI ARABIA
433954,VISA,CREDIT,CLASSIC,FIRST ABU DHABI BANK (PJSC),,,AE,ARE,UNITED ARAB EMIRATES
433955,VISA,CREDIT,INFINITE,FIRST ABU DHABI BANK (PJSC),,,AE,ARE,UNITED ARAB EMIRATES
433956,VISA,CREDIT,SIGNATURE,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT
433957,VISA,CREDIT,CLASSIC,HABIB BANK AG ZURICH,+97180000006,http://www.bankalhabib.com,AE,ARE,UNITED ARAB EMIRATES
433958,VISA,DEBIT,CLASSIC,HABIB BANK AG ZURICH,+97180000006,http://www.bankalhabib.com,AE,ARE,UNITED ARAB EMIRATES
433959,VISA,CREDIT,,HABIB BANK AG ZURICH,+97180000006,http://www.bankalhabib.com,AE,ARE,UNITED ARAB EMIRATES
433971,VISA,CREDIT,CLASSIC,CAPITAL BANK OF JORDAN PLC. CO.,,,JO,JOR,JORDAN
433972,VISA,CREDIT,GOLD,SOCIETE GENERALE DE BANQUE - JORDAN,+96265600300,http://www.sgbj.com,JO,JOR,JORDAN
433980,VISA,CREDIT,CLASSIC,CSCBANK SAL,,,LB,LBN,LEBANON
433981,VISA,CREDIT,CLASSIC,CSCBANK SAL,,,LB,LBN,LEBANON
433982,VISA,CREDIT,GOLD,CSCBANK S.A.L.,+9611871245,http://www.ccm.com.lb,LB,LBN,LEBANON
433983,VISA,CREDIT,GOLD,CSCBANK SAL,,,LB,LBN,LEBANON
433987,VISA,CREDIT,PLATINUM,SAMBA FINANCIAL GROUP,+9668001242000,http://www.samba.com,SA,SAU,SAUDI ARABIA
433988,VISA,CREDIT,INFINITE,SAMBA FINANCIAL GROUP,+9668001242000,http://www.samba.com,SA,SAU,SAUDI ARABIA
434102,VISA,CREDIT,PLATINUM,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT
434107,VISA,DEBIT,PREPAID CLASSIC,ALINMA BANK,,,SA,SAU,SAUDI ARABIA
434126,VISA,CREDIT,GOLD,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT
434127,VISA,CREDIT,GOLD,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT
434138,VISA,CREDIT,SIGNATURE,QATAR ISLAMIC BANK (S.A.Q.),+97444385555,,QA,QAT,QATAR
434141,VISA,DEBIT,CLASSIC,"DOHA BANK, LTD.",,,QA,QAT,QATAR
434143,VISA,CREDIT,PLATINUM,FIRST ABU DHABI BANK (PJSC),,,AE,ARE,UNITED ARAB EMIRATES
434145,VISA,DEBIT,PREPAID PURCHASING,IRAQ ELECTRONIC GATE FOR FINANCIAL SERVICES CO. LTD.,,,IQ,IRQ,IRAQ
434152,VISA,DEBIT,PREPAID CLASSIC,IRAQ ELECTRONIC GATE FOR FINANCIAL SERVICES CO. LTD.,,,IQ,IRQ,IRAQ
434173,VISA,CREDIT,CLASSIC,HSBC BANK OMAN S.A.O.G,,,OM,OMN,OMAN
434175,VISA,DEBIT,PREPAID BUSINESS,MASHREQBANK,,http://www.mashreqbank.com,EG,EGY,EGYPT
434177,VISA,CREDIT,GOLD,QNB ALAHLI,,,EG,EGY,EGYPT
434204,VISA,DEBIT,CLASSIC,THE COMMERCIAL BANK OF QATAR (Q.S.C.),,,QA,QAT,QATAR
434477,VISA,DEBIT,PREPAID CLASSIC,ABU DHABI ISLAMIC BANK,+97126100600,http://www.adib.ae,AE,ARE,UNITED ARAB EMIRATES
434479,VISA,CREDIT,CLASSIC,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN
434607,VISA,DEBIT,PREPAID CORPORATE T&E,FIRST ABU DHABI BANK (PJSC),,,AE,ARE,UNITED ARAB EMIRATES
434681,VISA,CREDIT,SIGNATURE,IRAQI ISLAMIC BANK FOR INVESTMENT AND DEVELOPMENT,,,IQ,IRQ,IRAQ
434694,VISA,CREDIT,,ARAB AFRICAN INTERNATIONAL BANK,+20224886679,http://www.aaib.com,EG,EGY,EGYPT
434775,VISA,DEBIT,PREPAID PLATINUM,NASS WALLET COMPANY FOR FINANCIAL AND PAYMENT SERVICES THROUGH CELLPHONES,,,IQ,IRQ,IRAQ
434941,VISA,CREDIT,CLASSIC,PROVISIONAL - FIRST ABU DHABI BANK (PJSC),,,EG,EGY,EGYPT
434942,VISA,CREDIT,GOLD,PROVISIONAL - FIRST ABU DHABI BANK (PJSC),,,EG,EGY,EGYPT
435008,VISA,DEBIT,PLATINUM,,,,IQ,IRQ,IRAQ
435208,VISA,CREDIT,REWARDS,THE HOUSING BANK FOR TRADE & FINANCE,,,JO,JOR,JORDAN
435209,VISA,CREDIT,CLASSIC,JORDAN COMMERCIAL BANK,+96265203000,http://www.jcbank.com.jo,JO,JOR,JORDAN
435220,VISA,CREDIT,CLASSIC,JORDAN COMMERCIAL BANK,+96265203000,http://www.jcbank.com.jo,JO,JOR,JORDAN
435240,VISA,CREDIT,PLATINUM,ARAB NATIONAL BANK,,,SA,SAU,SAUDI ARABIA
435292,VISA,CREDIT,,,,,IL,ISR,ISRAEL
435311,VISA,DEBIT,CLASSIC,ABU DHABI ISLAMIC BANK,,http://www.adib.ae,IQ,IRQ,IRAQ
435322,VISA,DEBIT,INFINITE,ABU DHABI ISLAMIC BANK,,http://www.adib.ae,IQ,IRQ,IRAQ
435700,VISA,DEBIT,PREPAID PLATINUM,RIYAD BANK,,http://www.riyadbank.com,SA,SAU,SAUDI ARABIA
435717,VISA,DEBIT,PLATINUM,ZAND BANK P.J.S.C.,,,AE,ARE,UNITED ARAB EMIRATES
435723,VISA,CREDIT,SIGNATURE,AHLI BANK (S.A.O.G),,,OM,OMN,OMAN
435733,VISA,DEBIT,INFINITE,D360 BANK,,,SA,SAU,SAUDI ARABIA
435949,VISA,DEBIT,CLASSIC,BANK OF BARODA,,https://www.bankofbaroda.in,OM,OMN,OMAN
436321,VISA,CREDIT,CLASSIC,AL RAJHI BANKING AND INVESTMENT CORP.,4433 92 000 + 966 OR 33 334 601 +966,http://www.alrajhibank.com.sa,SA,SAU,SAUDI ARABIA
436637,VISA,DEBIT,PREPAID CLASSIC,BANKMUSCAT (SAOG),,,OM,OMN,OMAN
436737,VISA,DEBIT,GOLD,BANQUE MISR,+20223912150,http://www.banquemisr.com,EG,EGY,EGYPT
436798,VISA,DEBIT,PREPAID CLASSIC,ARAB FINANCIAL SERVICES COMPANY,,,BH,BHR,BAHRAIN
436835,VISA,CREDIT,,,,,SA,SAU,SAUDI ARABIA
436976,VISA,CREDIT,,,,,SA,SAU,SAUDI ARABIA
437334,VISA,CREDIT,INFINITE,KHALEEJI BANK B.S.C,,,BH,BHR,BAHRAIN
437335,VISA,DEBIT,CLASSIC,AL-SALAM BANK - BAHRAIN B.S.C.,,,BH,BHR,BAHRAIN
437336,VISA,CREDIT,INFINITE,AL-SALAM BANK - BAHRAIN B.S.C.,,,BH,BHR,BAHRAIN
437367,VISA,CREDIT,INFINITE,MASHREQBANK,,http://www.mashreqbank.com,EG,EGY,EGYPT
437394,VISA,CREDIT,CLASSIC,BANK AL ATIHAD,,,JO,JOR,JORDAN
437395,VISA,CREDIT,GOLD,BANK AL ATIHAD,,,JO,JOR,JORDAN
437397,VISA,DEBIT,PREPAID PLATINUM,NATIONAL BANK OF BAHRAIN B. S. C.,,,BH,BHR,BAHRAIN
437425,VISA,DEBIT,CLASSIC,HSBC BANK OMAN (S.A.O.G),,,OM,OMN,OMAN
437426,VISA,DEBIT,PLATINUM,HSBC BANK OMAN (S.A.O.G),,,OM,OMN,OMAN
437427,VISA,DEBIT,PLATINUM,HSBC BANK OMAN (S.A.O.G),,,OM,OMN,OMAN
437464,VISA,DEBIT,PREPAID,EMIRATES NBD,+971800456,http://www.emiratesnbd.com,AE,ARE,UNITED ARAB EMIRATES
437494,VISA,CREDIT,PLATINUM,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON
437495,VISA,CREDIT,INFINITE,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON
437496,VISA,CREDIT,PLATINUM,INDUSTRIAL BANK,,https://www.cib.com.cn,IQ,IRQ,IRAQ
437530,VISA,DEBIT,,CREDIT LIBANAIS S.A.L.,00961-1-900 111,http://www.creditlibanais.com.lb,BH,BHR,BAHRAIN
437535,VISA,DEBIT,PREPAID CLASSIC,CREDIMAX B.S.C. (CLOSED),,,BH,BHR,BAHRAIN
437544,VISA,DEBIT,PREPAID PLATINUM,NYMCARD PAYMENT SERVICES L.L.C.,,,AE,ARE,UNITED ARAB EMIRATES
